doc_id,phrase_original_in_doc,phrase_canonical,topic_id,topic_label,concept_id,is_outlier_topic
83,포토레지스트,포토레지스트,1,조성물 | 프로세서 | 촉매,BT0001,False
84,스마트,스마트,1,조성물 | 프로세서 | 촉매,BT0001,False
85,컴퓨터 프로그램,컴퓨터 프로그램,4,디지털 변환 | 디지털 트윈 | 컴퓨터 프로그램,BT0002,False
85,포인트,포인트,1,조성물 | 프로세서 | 촉매,BT0001,False
85,컴퓨터 판독,컴퓨터 판독,4,디지털 변환 | 디지털 트윈 | 컴퓨터 프로그램,BT0002,False
85,컴퓨터,컴퓨터,4,디지털 변환 | 디지털 트윈 | 컴퓨터 프로그램,BT0002,False
85,파라미터,파라미터,1,조성물 | 프로세서 | 촉매,BT0001,False
86,정전기 방전,정전기 방전,1,조성물 | 프로세서 | 촉매,BT0001,False
86,레티클 컨테이너,레티클 컨테이너,1,조성물 | 프로세서 | 촉매,BT0001,False
86,탄소,탄소,23,탄소,BT0017,False
86,레티클,레티클,1,조성물 | 프로세서 | 촉매,BT0001,False
87,반도체 디바이스,반도체 디바이스,5,반도체 장치 | 반도체 디바이스,BT0004,False
87,이미지,이미지,7,이미지 센서,BT0005,False
87,인서트,인서트,1,조성물 | 프로세서 | 촉매,BT0001,False
87,반도체,반도체,5,반도체 장치 | 반도체 디바이스,BT0004,False
88,트레이,트레이,1,조성물 | 프로세서 | 촉매,BT0001,False
88,테스트,테스트,11,테스트 코드,BT0015,False
88,인서트,인서트,1,조성물 | 프로세서 | 촉매,BT0001,False
88,반도체,반도체,5,반도체 장치 | 반도체 디바이스,BT0004,False
89,컴퓨터,컴퓨터,4,디지털 변환 | 디지털 트윈 | 컴퓨터 프로그램,BT0002,False
89,프로세스,프로세스,1,조성물 | 프로세서 | 촉매,BT0001,False
89,파라미터,파라미터,1,조성물 | 프로세서 | 촉매,BT0001,False
89,이미지,이미지,7,이미지 센서,BT0005,False
90,어셈블리,어셈블리,1,조성물 | 프로세서 | 촉매,BT0001,False
91,게이트,게이트,1,조성물 | 프로세서 | 촉매,BT0001,False
91,트랜지스터,트랜지스터,5,반도체 장치 | 반도체 디바이스,BT0004,False
92,세라믹,세라믹,1,조성물 | 프로세서 | 촉매,BT0001,False
93,리튬,리튬,10,알루미늄 합금,BT0003,False
93,양극,양극,1,조성물 | 프로세서 | 촉매,BT0001,False
94,주파수,주파수,1,조성물 | 프로세서 | 촉매,BT0001,False
96,아크릴,아크릴,1,조성물 | 프로세서 | 촉매,BT0001,False
96,탄소,탄소,23,탄소,BT0017,False
96,조성물,조성물,1,조성물 | 프로세서 | 촉매,BT0001,False
96,실리콘,실리콘,5,반도체 장치 | 반도체 디바이스,BT0004,False
97,레이저,레이저,9,레이저 | 방사선 | 자외선,BT0008,False
97,방사선,방사선,9,레이저 | 방사선 | 자외선,BT0008,False
98,인서트,인서트,1,조성물 | 프로세서 | 촉매,BT0001,False
99,배터리,배터리,16,배터리,BT0018,False
101,텍스트,텍스트,1,조성물 | 프로세서 | 촉매,BT0001,False
