phrase_original,phrase_canonical,representative_phrase,df,tf,cleaned_score,canonical_score_proxy,doc_text,phrase_quality_score,is_meaningful_phrase,doc_index,topic_id,is_outlier_topic,topic_label,concept_id
레티클,레티클,레티클,2,7,3.7273,3.7273,레티클,1.4,True,92,1,False,조성물 | 프로세서 | 촉매,BT0001
비디오,비디오,비디오,4,16,3.6787,3.6787,비디오,1.4,True,93,7,False,이미지 센서,BT0005
커넥터,커넥터,커넥터,4,16,3.6787,3.6787,커넥터,1.4,True,94,8,False,케이블 | 단섬유 | 커넥터,BT0011
세라믹,세라믹,세라믹,3,13,3.6737,3.6737,세라믹,1.4,True,95,1,False,조성물 | 프로세서 | 촉매,BT0001
에어로,에어로,에어로,3,9,3.6657,3.6657,에어로,1.4,True,96,1,False,조성물 | 프로세서 | 촉매,BT0001
PDCCH,PDCCH,PDCCH,2,4,3.6621,3.6621,PDCCH,1.4,True,97,17,False,PDCCH,BT0028
CSI,CSI,CSI,2,4,3.6621,3.6621,CSI,1.4,True,98,6,False,CSI,BT0027
방향족,방향족,방향족,5,11,3.6517,3.6517,방향족,1.4,True,99,1,False,조성물 | 프로세서 | 촉매,BT0001
중합체,중합체,중합체,4,12,3.6386,3.6386,중합체,1.4,True,100,1,False,조성물 | 프로세서 | 촉매,BT0001
자외선,자외선,자외선,5,11,3.6383,3.6383,자외선,1.4,True,101,9,False,레이저 | 방사선 | 자외선,BT0008
스테이션,스테이션,스테이션,2,11,3.6287,3.6287,스테이션,1.4,True,102,1,False,조성물 | 프로세서 | 촉매,BT0001
폴리머,폴리머,폴리머,5,13,3.5983,3.5983,폴리머,1.4,True,103,2,False,접착제 | 플라스틱 | 폴리머,BT0009
매트릭스,매트릭스,매트릭스,5,15,3.5584,3.5584,매트릭스,1.4,True,104,1,False,조성물 | 프로세서 | 촉매,BT0001
화학식,화학식,화학식,8,14,3.5467,3.5467,화학식,1.4,True,105,10,False,알루미늄 합금,BT0003
드라이버,드라이버,드라이버,3,11,3.5403,3.5403,드라이버,1.4,True,106,26,False,자동차 | 드라이버,BT0013
레독스,레독스,레독스,2,4,3.5273,3.5273,레독스,1.4,True,107,1,False,조성물 | 프로세서 | 촉매,BT0001
