doc_id,phrase_original_in_doc,phrase_norm,concept_id,concept_label
85,컴퓨터 프로그램,컴퓨터 프로그램,C0023,컴퓨터 프로그램
85,포인트,포인트,C0044,포인트
85,컴퓨터 판독,컴퓨터 판독,C0010,컴퓨터
85,컴퓨터,컴퓨터,C0010,컴퓨터
85,프로그램,프로그램,C0008,프로그램
85,파라미터,파라미터,C0027,파라미터
86,컨테이너,컨테이너,C0056,컨테이너
86,베이스,베이스,C0018,베이스
86,정전기 방전,정전기 방전,C0118,정전기
86,레티클 컨테이너,레티클 컨테이너,C0109,레티클
86,탄소,탄소,C0013,탄소
86,레티클,레티클,C0109,레티클
87,반도체 디바이스,반도체 디바이스,C0004,반도체
87,디바이스,디바이스,C0003,디바이스
87,가이드,가이드,C0022,가이드
87,이미지,이미지,C0005,이미지
87,인서트,인서트,C0051,인서트
87,반도체,반도체,C0004,반도체
88,트레이,트레이,C0045,트레이
88,테스트,테스트,C0038,테스트
88,인서트,인서트,C0051,인서트
88,반도체,반도체,C0004,반도체
89,디바이스,디바이스,C0003,디바이스
89,컴퓨터,컴퓨터,C0010,컴퓨터
89,프로세스,프로세스,C0017,프로세스
89,파라미터,파라미터,C0027,파라미터
89,이미지,이미지,C0005,이미지
90,프레임,프레임,C0002,프레임
90,어셈블리,어셈블리,C0031,어셈블리
91,게이트,게이트,C0043,게이트
91,트랜지스터,트랜지스터,C0063,트랜지스터
92,세라믹,세라믹,C0091,세라믹
93,리튬,리튬,C0020,리튬
93,양극,양극,C0083,양극
94,주파수,주파수,C0060,주파수
96,아크릴,아크릴,C0047,아크릴
96,탄소,탄소,C0013,탄소
96,조성물,조성물,C0001,조성물
96,실리콘,실리콘,C0026,실리콘
97,레이저,레이저,C0024,레이저
97,방사선,방사선,C0032,방사선
98,인서트,인서트,C0051,인서트
99,케이스,케이스,C0042,케이스
99,배터리,배터리,C0015,배터리
101,텍스트,텍스트,C0040,텍스트
101,데이터 유닛,데이터 유닛,C0093,데이터
101,업데이트,업데이트,C0077,업데이트
102,조성물,조성물,C0001,조성물
103,디바이스,디바이스,C0003,디바이스
104,업데이트,업데이트,C0077,업데이트
104,컴퓨터,컴퓨터,C0010,컴퓨터
104,디지털,디지털,C0048,디지털
104,컴퓨터 구현,컴퓨터 구현,C0010,컴퓨터
105,조성물,조성물,C0001,조성물
106,에어로,에어로,C0092,에어로
106,억제제,억제제,C0050,억제제
106,조성물,조성물,C0001,조성물
107,컴퓨터 프로그램,컴퓨터 프로그램,C0023,컴퓨터 프로그램
107,애플리케이션,애플리케이션,C0067,애플리케이션
107,프로그램 제품,프로그램 제품,C0070,프로그램 제품
107,컴퓨터,컴퓨터,C0010,컴퓨터
107,프로그램,프로그램,C0008,프로그램
107,프로세서,프로세서,C0006,프로세서
109,메모리,메모리,C0007,메모리
109,인코딩,인코딩,C0046,인코딩
110,비디오,비디오,C0080,비디오
110,프레임,프레임,C0002,프레임
110,인코딩,인코딩,C0046,인코딩
111,방사선,방사선,C0032,방사선
112,포인트,포인트,C0044,포인트
112,억제제,억제제,C0050,억제제
112,조성물,조성물,C0001,조성물
113,와이어,와이어,C0052,와이어
113,프로그램,프로그램,C0008,프로그램
115,와이어,와이어,C0052,와이어
116,접착제,접착제,C0049,접착제
117,조성물,조성물,C0001,조성물
119,윤활유,윤활유,C0097,윤활유
119,화학식,화학식,C0037,화학식
119,탄소,탄소,C0013,탄소
