doc_id,phrase_original_in_doc,phrase_canonical,is_outlier_topic,topic_id,topic_label,concept_id
331,조성물,조성물,False,1,윤활유 조성,BT0002
331,주파수,주파수,False,29,프로세서,BT0030
332,플라즈마,플라즈마,False,29,프로세서,BT0030
332,반도체,반도체,False,5,반도체,BT0006
333,단백질,단백질,False,14,단백질,BT0015
333,유전자,유전자,False,21,유전자,BT0022
334,중합체,중합체,False,29,프로세서,BT0030
334,혼합물,혼합물,False,1,윤활유 조성,BT0002
334,조성물,조성물,False,1,윤활유 조성,BT0002
334,포토레지스트,포토레지스트,False,29,프로세서,BT0030
334,포토레지스트 조성물,포토레지스트 조성물,False,22,포토레지스트 조성물,BT0023
335,이미지,이미지,False,7,이미지,BT0008
336,에너지,에너지,False,0,에너지,BT0001
336,전해질,전해질,False,29,프로세서,BT0030
336,레독스,레독스,False,29,프로세서,BT0030
336,배터리,배터리,False,16,배터리,BT0017
341,컴퓨터,컴퓨터,False,4,컴퓨터,BT0005
341,컴퓨터 구현,컴퓨터 구현,False,4,컴퓨터,BT0005
342,자외선,자외선,False,9,레이저,BT0010
342,조성물,조성물,False,1,윤활유 조성,BT0002
343,억제제,억제제,False,29,프로세서,BT0030
344,컴퓨터 프로그램,컴퓨터 프로그램,False,4,컴퓨터,BT0005
344,프로그램 제품,프로그램 제품,False,4,컴퓨터,BT0005
344,컴퓨터,컴퓨터,False,4,컴퓨터,BT0005
345,오디오,오디오,False,27,오디오,BT0028
345,비디오,비디오,False,7,이미지,BT0008
345,프로세스,프로세스,False,29,프로세서,BT0030
345,스트림,스트림,False,29,프로세서,BT0030
345,실시간,실시간,False,28,실시간,BT0029
346,알루미늄,알루미늄,False,10,알루미늄,BT0011
346,알루미늄 합금,알루미늄 합금,False,10,알루미늄,BT0011
346,양극,양극,False,29,프로세서,BT0030
347,알루미늄,알루미늄,False,10,알루미늄,BT0011
347,열처리,열처리,False,0,에너지,BT0001
347,리튬,리튬,False,10,알루미늄,BT0011
348,스트림,스트림,False,29,프로세서,BT0030
348,프로세서,프로세서,False,29,프로세서,BT0030
349,메모리,메모리,False,3,메모리,BT0004
349,프로세스,프로세스,False,29,프로세서,BT0030
350,혼합물,혼합물,False,1,윤활유 조성,BT0002
351,파라미터,파라미터,False,29,프로세서,BT0030
352,나트륨 이온,나트륨 이온,False,10,알루미늄,BT0011
352,리튬,리튬,False,10,알루미늄,BT0011
352,배터리,배터리,False,16,배터리,BT0017
353,HARQ,HARQ,False,13,HARQ,BT0014
353,ACK,ACK,False,25,ACK,BT0026
354,업데이트,업데이트,False,29,프로세서,BT0030
355,PDCCH,PDCCH,False,17,PDCCH,BT0018
355,주파수,주파수,False,29,프로세서,BT0030
355,CSI,CSI,False,6,CSI,BT0007
356,방향족,방향족,False,29,프로세서,BT0030
357,단말기,단말기,False,29,프로세서,BT0030
357,트레이,트레이,False,29,프로세서,BT0030
357,이미지 센서,이미지 센서,False,7,이미지,BT0008
357,이미지,이미지,False,7,이미지,BT0008
358,배터리,배터리,False,16,배터리,BT0017
359,게이트,게이트,False,29,프로세서,BT0030
359,트랜지스터,트랜지스터,False,5,반도체,BT0006
360,에너지,에너지,False,0,에너지,BT0001
364,사용자 단말,사용자 단말,False,29,프로세서,BT0030
364,애플리케이션,애플리케이션,False,4,컴퓨터,BT0005
