doc_id,phrase_original_in_doc,phrase_canonical,topic_id,topic_label,concept_id,is_outlier_topic
412,카메라,카메라,10,이미지 | 센서 | 카메라,BT0004,False
414,단백질,단백질,3,유전자 | 단백질,BT0007,False
414,유전자,유전자,3,유전자 | 단백질,BT0007,False
415,모니터링 시스템,모니터링 시스템,0,디지털 | 전해질 | 리튬,BT0001,False
415,모니터링,모니터링,0,디지털 | 전해질 | 리튬,BT0001,False
417,전자파 차폐,전자파 차폐,0,디지털 | 전해질 | 리튬,BT0001,False
418,커넥터,커넥터,4,파이프 | 단섬유 | 케이블,BT0006,False
418,어셈블리,어셈블리,0,디지털 | 전해질 | 리튬,BT0001,False
421,컴퓨터,컴퓨터,0,디지털 | 전해질 | 리튬,BT0001,False
421,프로세서,프로세서,0,디지털 | 전해질 | 리튬,BT0001,False
421,메모리,메모리,0,디지털 | 전해질 | 리튬,BT0001,False
421,테스트,테스트,0,디지털 | 전해질 | 리튬,BT0001,False
421,드라이버,드라이버,0,디지털 | 전해질 | 리튬,BT0001,False
423,유전자,유전자,3,유전자 | 단백질,BT0007,False
423,AAV,AAV,0,디지털 | 전해질 | 리튬,BT0001,False
423,조성물,조성물,0,디지털 | 전해질 | 리튬,BT0001,False
424,단말기,단말기,0,디지털 | 전해질 | 리튬,BT0001,False
424,에너지,에너지,1,배터리 | 열처리 | 에너지,BT0003,False
425,디스플레이,디스플레이,0,디지털 | 전해질 | 리튬,BT0001,False
425,캐비닛,캐비닛,0,디지털 | 전해질 | 리튬,BT0001,False
426,스트림,스트림,0,디지털 | 전해질 | 리튬,BT0001,False
426,산화물,산화물,0,디지털 | 전해질 | 리튬,BT0001,False
427,배터리,배터리,1,배터리 | 열처리 | 에너지,BT0003,False
428,바이러스,바이러스,2,바이러스 | CSI,BT0008,False
428,레이트,레이트,0,디지털 | 전해질 | 리튬,BT0001,False
428,조성물,조성물,0,디지털 | 전해질 | 리튬,BT0001,False
433,프레임,프레임,0,디지털 | 전해질 | 리튬,BT0001,False
433,베이스,베이스,0,디지털 | 전해질 | 리튬,BT0001,False
433,어셈블리,어셈블리,0,디지털 | 전해질 | 리튬,BT0001,False
433,트레이,트레이,0,디지털 | 전해질 | 리튬,BT0001,False
435,단말기,단말기,0,디지털 | 전해질 | 리튬,BT0001,False
435,컴퓨터 프로그램,컴퓨터 프로그램,0,디지털 | 전해질 | 리튬,BT0001,False
435,컴퓨터,컴퓨터,0,디지털 | 전해질 | 리튬,BT0001,False
435,프로그램,프로그램,0,디지털 | 전해질 | 리튬,BT0001,False
436,프로세서,프로세서,0,디지털 | 전해질 | 리튬,BT0001,False
436,카메라,카메라,10,이미지 | 센서 | 카메라,BT0004,False
437,폴리머,폴리머,0,디지털 | 전해질 | 리튬,BT0001,False
440,탄소,탄소,5,탄소,BT0009,False
443,유전자,유전자,3,유전자 | 단백질,BT0007,False
443,카트리지,카트리지,0,디지털 | 전해질 | 리튬,BT0001,False
444,단말기,단말기,0,디지털 | 전해질 | 리튬,BT0001,False
444,프로세스,프로세스,0,디지털 | 전해질 | 리튬,BT0001,False
445,디스플레이,디스플레이,0,디지털 | 전해질 | 리튬,BT0001,False
